height,allInterlinks,validInterlinks,missingPtrs
1258756,6,36,-1
1258757,6,36,-1
1258758,7,36,-1
1258759,6,36,-1
1258760,7,36,-1
1258761,7,36,-1
1258762,8,36,-1
1258763,1,36,-1
1258764,2,36,-1
1258765,3,36,-1
1258766,4,36,-1
1258767,5,36,-1
1258768,2,36,-1
1258769,2,36,-1
1258770,3,36,-1
1258771,3,36,-1
1258772,2,36,-1
1258773,3,36,-1
1258774,4,36,-1
1258775,3,36,-1
1258776,4,36,-1
1258777,5,36,-1
1258778,4,36,-1
1258779,3,36,-1
1258780,4,36,-1
1258781,3,36,-1
1258782,4,36,-1
1258783,4,36,-1
1258784,5,36,-1
1258785,3,36,-1
1258786,4,36,-1
1258787,4,36,-1
1258788,4,36,-1
1258789,4,36,-1
1258790,5,36,-1
1258791,6,36,-1
1258792,6,36,-1
1258793,6,36,-1
1258794,7,36,-1
1258795,5,36,-1
1258796,6,36,-1
1258797,6,36,-1
1258798,6,36,-1
1258799,5,36,-1
1258800,6,36,-1
1258801,6,36,-1
1258802,6,36,-1
1258803,6,36,-1
1258804,7,36,-1
1258805,6,36,-1
1258806,5,36,-1
1258807,3,36,-1
1258808,4,36,-1
1258809,4,36,-1
1258810,5,36,-1
1258811,5,36,-1
1258812,5,36,-1
1258813,6,36,-1
1258814,5,36,-1
1258815,6,36,-1
1258816,3,36,-1
1258817,4,36,-1
1258818,5,36,-1
1258819,4,36,-1
1258820,4,36,-1
1258821,4,36,-1
1258822,5,36,-1
1258823,5,36,-1
1258824,5,36,-1
1258825,6,36,-1
1258826,5,36,-1
1258827,5,36,-1
1258828,6,36,-1
1258829,7,36,-1
1258830,5,36,-1
1258831,6,36,-1
1258832,5,36,-1
1258833,6,36,-1
1258834,6,36,-1
1258835,7,36,-1
1258836,6,36,-1
1258837,7,36,-1
1258838,3,36,-1
1258839,4,36,-1
1258840,4,36,-1
1258841,5,36,-1
1258842,3,36,-1
1258843,4,36,-1
1258844,5,36,-1
1258845,4,36,-1
1258846,4,36,-1
1258847,3,36,-1
1258848,4,36,-1
1258849,3,36,-1
1258850,4,36,-1
1258851,4,36,-1
1258852,4,36,-1
1258853,4,36,-1
1258854,4,36,-1
1258855,4,36,-1
1258856,4,36,-1
1258857,5,36,-1
1258858,3,36,-1
1258859,4,36,-1
1258860,4,36,-1
1258861,4,36,-1
1258862,5,36,-1
1258863,6,36,-1
1258864,4,36,-1
